x	N7
0	0
0.05	1.58829e-06
0.1	6.36542e-06
0.15	1.43552e-05
0.2	2.55798e-05
0.25	4.00601e-05
0.3	5.78152e-05
0.35	7.8863e-05
0.4	0.00010322
0.45	0.000130901
0.5	0.000161921
0.55	0.000196291
0.6	0.000234024
0.65	0.000275129
0.7	0.000319615
0.75	0.00036749
0.8	0.000418762
0.85	0.000473435
0.9	0.000531514
0.95	0.000593003
1	0.000657905
1.05	0.000726221
1.1	0.000797952
1.15	0.000873098
1.2	0.000951657
1.25	0.00103363
1.3	0.00111901
1.35	0.00120779
1.4	0.00129998
1.45	0.00139556
1.5	0.00149453
1.55	0.00159688
1.6	0.00170261
1.65	0.00181171
1.7	0.00192416
1.75	0.00203997
1.8	0.00215911
1.85	0.00228158
1.9	0.00240737
1.95	0.00253647
2	0.00266886
2.05	0.00280453
2.1	0.00294347
2.15	0.00308566
2.2	0.00323109
2.25	0.00337975
2.3	0.00353162
2.35	0.00368669
2.4	0.00384494
2.45	0.00400635
2.5	0.00417091
2.55	0.0043386
2.6	0.0045094
2.65	0.00468331
2.7	0.00486029
2.75	0.00504034
2.8	0.00522343
2.85	0.00540955
2.9	0.00559867
2.95	0.00579079
3	0.00598589
3.05	0.00618393
3.1	0.00638492
3.15	0.00658881
3.2	0.00679561
3.25	0.00700529
3.3	0.00721782
3.35	0.0074332
3.4	0.0076514
3.45	0.0078724
3.5	0.00809618
3.55	0.00832273
3.6	0.00855203
3.65	0.00878405
3.7	0.00901878
3.75	0.00925619
3.8	0.00949628
3.85	0.00973901
3.9	0.00998438
3.95	0.0102324
4	0.0104829
4.05	0.0107361
4.1	0.0109918
4.15	0.01125
4.2	0.0115108
4.25	0.011774
4.3	0.0120398
4.35	0.012308
4.4	0.0125786
4.45	0.0128517
4.5	0.0131272
4.55	0.013405
4.6	0.0136853
4.65	0.0139679
4.7	0.0142528
4.75	0.0145401
4.8	0.0148296
4.85	0.0151215
4.9	0.0154156
4.95	0.015712
5	0.0160106
