x	N1
0	0
0.05	1.10836e-05
0.1	4.15162e-05
0.15	8.59626e-05
0.2	0.00013966
0.25	0.000198361
0.3	0.000258279
0.35	0.000316046
0.4	0.000368666
0.45	0.00041348
0.5	0.000448132
0.55	0.000470535
0.6	0.000478849
0.65	0.000471451
0.7	0.000446915
0.75	0.000403993
0.8	0.000341595
0.85	0.000258772
0.9	0.000154706
0.95	2.86927e-05
1	-0.000119871
1.05	-0.000291493
1.1	-0.000486599
1.15	-0.000705543
1.2	-0.000948607
1.25	-0.00121602
1.3	-0.00150795
1.35	-0.00182452
1.4	-0.00216581
1.45	-0.00253186
1.5	-0.00292268
1.55	-0.00333825
1.6	-0.00377852
1.65	-0.00424339
1.7	-0.00473279
1.75	-0.00524659
1.8	-0.00578464
1.85	-0.00634681
1.9	-0.00693291
1.95	-0.00754278
2	-0.00817622
2.05	-0.00883303
2.1	-0.009513
2.15	-0.0102159
2.2	-0.0109415
2.25	-0.0116896
2.3	-0.01246
2.35	-0.0132523
2.4	-0.0140664
2.45	-0.014902
2.5	-0.0157589
2.55	-0.0166367
2.6	-0.0175353
2.65	-0.0184544
2.7	-0.0193936
2.75	-0.0203528
2.8	-0.0213317
2.85	-0.0223299
2.9	-0.0233474
2.95	-0.0243836
3	-0.0254385
3.05	-0.0265117
3.1	-0.027603
3.15	-0.028712
3.2	-0.0298386
3.25	-0.0309824
3.3	-0.0321432
3.35	-0.0333207
3.4	-0.0345147
3.45	-0.0357248
3.5	-0.0369509
3.55	-0.0381926
3.6	-0.0394498
3.65	-0.040722
3.7	-0.0420092
3.75	-0.043311
3.8	-0.0446271
3.85	-0.0459574
3.9	-0.0473016
3.95	-0.0486593
4	-0.0500305
4.05	-0.0514148
4.1	-0.0528119
4.15	-0.0542218
4.2	-0.055644
4.25	-0.0570784
4.3	-0.0585248
4.35	-0.0599829
4.4	-0.0614525
4.45	-0.0629334
4.5	-0.0644253
4.55	-0.0659281
4.6	-0.0674414
4.65	-0.0689653
4.7	-0.0704993
4.75	-0.0720433
4.8	-0.0735971
4.85	-0.0751605
4.9	-0.0767333
4.95	-0.0783153
5	-0.0799064
