x	N1
0	0
0.2	-0.132689
0.4	-0.125054
0.6	-0.112385
0.8	-0.0981244
1	-0.0842239
1.2	-0.0715724
1.4	-0.0604598
1.6	-0.0508856
1.8	-0.042726
2	-0.0358166
2.2	-0.0299891
2.4	-0.0250869
2.6	-0.0209706
2.8	-0.017519
3	-0.0146279
3.2	-0.0122083
3.4	-0.0101849
3.6	-0.00849393
3.8	-0.0070815
4	-0.00590233
4.2	-0.00491832
4.4	-0.00409749
4.6	-0.00341301
4.8	-0.0028424
5	-0.00236685
5.2	-0.00197061
5.4	-0.00164051
5.6	-0.00136555
5.8	-0.00113661
6	-0.000945983
6.2	-0.000787273
6.4	-0.000655151
6.6	-0.000545173
6.8	-0.000453636
7	-0.000377454
7.2	-0.000314055
7.4	-0.000261296
7.6	-0.000217395
7.8	-0.000180866
8	-0.000150472
8.2	-0.000125183
8.4	-0.000104143
8.6	-8.66382e-05
8.8	-7.20747e-05
9	-5.99588e-05
9.2	-4.98791e-05
9.4	-4.14936e-05
9.6	-3.45177e-05
9.8	-2.87144e-05
10	-2.38866e-05

