x	N7
0	0
0.2	0.127292
0.4	0.169783
0.6	0.198813
0.8	0.221133
1	0.239384
1.2	0.254884
1.4	0.268391
1.6	0.280382
1.8	0.291178
2	0.301004
2.2	0.310027
2.4	0.318372
2.6	0.326138
2.8	0.333401
3	0.340223
3.2	0.346656
3.4	0.352742
3.6	0.358517
3.8	0.36401
4	0.369248
4.2	0.374253
4.4	0.379044
4.6	0.383639
4.8	0.388052
5	0.392296
5.2	0.396383
5.4	0.400324
5.6	0.404127
5.8	0.407802
6	0.411356
6.2	0.414796
6.4	0.418128
6.6	0.421357
6.8	0.42449
7	0.42753
7.2	0.430483
7.4	0.433352
7.6	0.436141
7.8	0.438853
8	0.441492
8.2	0.444061
8.4	0.446563
8.6	0.448999
8.8	0.451373
9	0.453687
9.2	0.455942
9.4	0.458142
9.6	0.460287
9.8	0.462381
10	0.464423
